,pid,name,sid,sentence
0,0,alabama,0,"Alabama () is a state in the Deep South region of the Southern United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west."
1,0,alabama,1,Alabama is the 30th largest by area and the 24th-most populous of the US states.
2,0,alabama,2,"With a total of 1,500 miles (2,400 km) of inland waterways, Alabama has among the most of any state."
3,0,alabama,3,"Alabama is nicknamed the Yellowhammer State, after the state bird."
4,0,alabama,4,"Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State""."
5,0,alabama,5,"The state tree is the longleaf pine, and the state flower is the camellia."
6,0,alabama,6,Alabama's capital is Montgomery.
7,0,alabama,7,"The largest city by population is Birmingham, which has long been the most industrialized city; the largest city by land area is Huntsville."
8,0,alabama,8,"The oldest city is Mobile, founded by French colonists in 1702 as the capital of French Louisiana."
9,0,alabama,9,"Greater Birmingham is Alabama's largest urban economy, its most populous urban area, and its economic center."
10,0,alabama,10,"From the American Civil War until World War II, Alabama, like many states in the southern US, suffered economic hardship, in part because of its continued dependence on agriculture."
11,0,alabama,11,"Similar to other former slave states, Alabamian legislators employed Jim Crow laws to disenfranchise and otherwise discriminate against African Americans from the end of the Reconstruction Era up until at least the 1970s."
12,0,alabama,12,"Despite the growth of major industries and urban centers, white rural interests dominated the state legislature from 1901 to the 1960s."
13,0,alabama,13,"During this time, urban interests and African Americans were markedly under-represented."
14,0,alabama,14,"Following World War II, Alabama grew as the state's economy changed from one primarily based on agriculture to one with diversified interests."
15,0,alabama,15,"The state's economy in the 21st century is based on management, automotive, finance, manufacturing, aerospace, mineral extraction, healthcare, education, retail, and technology."
16,0,alabama,16,"The European-American naming of the Alabama River and state was derived from the Alabama people, a Muskogean-speaking tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper reaches of the river."
17,0,alabama,17,"In the Alabama language, the word for a person of Alabama lineage is Albaamo (or variously Albaama or Albàamo in different dialects; the plural form is Albaamaha)."
18,0,alabama,18,"The suggestion that ""Alabama"" was borrowed from the Choctaw language is unlikely."
19,0,alabama,19,The word's spelling varies significantly among historical sources.
20,0,alabama,20,"The first usage appears in three accounts of the Hernando de Soto expedition of 1540: Garcilaso de la Vega used Alibamo, while the Knight of Elvas and Rodrigo Ranjel wrote Alibamu and Limamu, respectively, in transliterations of the term."
21,0,alabama,21,"As early as 1702, the French called the tribe the Alibamon, with French maps identifying the river as Rivière des Alibamons."
22,0,alabama,22,"Other spellings of the name have included Alibamu, Alabamo, Albama, Alebamon, Alibama, Alibamou, Alabamu, Allibamou."
23,0,alabama,23,Sources disagree on the word's meaning.
24,0,alabama,24,"Some scholars suggest the word comes from the Choctaw alba (meaning ""plants"" or ""weeds"") and amo (meaning ""to cut"", ""to trim"", or ""to gather"")."
25,0,alabama,25,"The meaning may have been ""clearers of the thicket"" or ""herb gatherers"", referring to clearing land for cultivation or collecting medicinal plants."
26,0,alabama,26,The state has numerous place names of Native American origin.
27,0,alabama,27,"However, there are no correspondingly similar words in the Alabama language."
28,0,alabama,28,"An 1842 article in the Jacksonville Republican proposed it meant ""Here We Rest""."
29,0,alabama,29,This notion was popularized in the 1850s through the writings of Alexander Beaufort Meek.
30,0,alabama,30,Experts in the Muskogean languages have not found any evidence to support such a translation.
31,0,alabama,31,Indigenous peoples of varying cultures lived in the area for thousands of years before the advent of European colonization.
32,0,alabama,32,Trade with the northeastern tribes by the Ohio River began during the Burial Mound Period (1000 BCE – 700 CE) and continued until European contact.
33,0,alabama,33,"The agrarian Mississippian culture covered most of the state from 1000 to 1600 CE, with one of its major centers built at what is now the Moundville Archaeological Site in Moundville, Alabama."
34,0,alabama,34,"This is the second-largest complex of the classic Middle Mississippian era, after Cahokia in present-day Illinois, which was the center of the culture."
35,0,alabama,35,Analysis of artifacts from archaeological excavations at Moundville were the basis of scholars' formulating the characteristics of the Southeastern Ceremonial Complex (SECC).
36,0,alabama,36,"Contrary to popular belief, the SECC appears to have no direct links to Mesoamerican culture, but developed independently."
37,0,alabama,37,The Ceremonial Complex represents a major component of the religion of the Mississippian peoples
38,0,alabama,38,"Among the historical tribes of Native American people living in present-day Alabama at the time of European contact were the Cherokee, an Iroquoian language people; and the Muskogean-speaking Alabama (Alibamu), Chickasaw, Choctaw, Creek, and Koasati."
39,0,alabama,39,"While part of the same large language family, the Muskogee tribes developed distinct cultures and languages."
40,0,alabama,40,"With exploration in the 16th century, the Spanish were the first Europeans to reach Alabama."
41,0,alabama,41,The expedition of Hernando de Soto passed through Mabila and other parts of the state in 1540.
42,0,alabama,42,"More than 160 years later, the French founded the region's first European settlement at Old Mobile in 1702."
43,0,alabama,43,The city was moved to the current site of Mobile in 1711.
44,0,alabama,44,This area was claimed by the French from 1702 to 1763 as part of La Louisiane.
45,0,alabama,45,"After the French lost to the British in the Seven Years' War, it became part of British West Florida from 1763 to 1783."
46,0,alabama,46,"After the United States victory in the American Revolutionary War, the territory was divided between the United States and Spain."
47,0,alabama,47,"The latter retained control of this western territory from 1783 until the surrender of the Spanish garrison at Mobile to US forces on April 13, 1813."
48,0,alabama,48,"Thomas Bassett, a loyalist to the British monarchy during the Revolutionary era, was one of the earliest white settlers in the state outside Mobile."
49,0,alabama,49,He settled in the Tombigbee District during the early 1770s.
50,0,alabama,50,"The district's boundaries were roughly limited to the area within a few miles of the Tombigbee River and included portions of what is today southern Clarke County, northernmost Mobile County, and most of Washington County."
51,0,alabama,51,"What is now the counties of Baldwin and Mobile became part of Spanish West Florida in 1783, part of the independent Republic of West Florida in 1810, and was finally added to the Mississippi Territory in 1812."
52,0,alabama,52,Most of what is now the northern two-thirds of Alabama was known as the Yazoo lands beginning during the British colonial period.
53,0,alabama,53,It was claimed by the Province of Georgia from 1767 onwards.
54,0,alabama,54,"Following the Revolutionary War, it remained a part of Georgia, although heavily disputed."
55,0,alabama,55,"With the exception of the area around Mobile and the Yazoo lands, what is now the lower one-third of Alabama was made part of the Mississippi Territory when it was organized in 1798."
56,0,alabama,56,"The Yazoo lands were added to the territory in 1804, following the Yazoo land scandal."
57,0,alabama,57,Spain kept a claim on its former Spanish West Florida territory in what would become the coastal counties until the Adams–Onís Treaty officially ceded it to the United States in 1819.
58,0,alabama,58,"Before Mississippi's admission to statehood on December 10, 1817, the more sparsely settled eastern half of the territory was separated and named the Alabama Territory."
59,0,alabama,59,"The United States Congress created the Alabama Territory on March 3, 1817."
60,0,alabama,60,"St. Stephens, now abandoned, served as the territorial capital from 1817 to 1819."
61,0,alabama,61,"Alabama was admitted as the 22nd state on December 14, 1819, with Congress selecting Huntsville as the site for the first Constitutional Convention."
62,0,alabama,62,"From July 5 to August 2, 1819, delegates met to prepare the new state constitution."
63,0,alabama,63,"Huntsville served as temporary capital from 1819 to 1820, when the seat of government moved to Cahaba in Dallas County."
64,0,alabama,64,"Cahaba, now a ghost town, was the first permanent state capital from 1820 to 1825."
65,0,alabama,65,"The Alabama Fever land rush was underway when the state was admitted to the Union, with settlers and land speculators pouring into the state to take advantage of fertile land suitable for cotton cultivation."
66,0,alabama,66,"Part of the frontier in the 1820s and 1830s, its constitution provided for universal suffrage for white men."
67,0,alabama,67,Southeastern planters and traders from the Upper South brought slaves with them as the cotton plantations in Alabama expanded.
68,0,alabama,68,"The economy of the central Black Belt (named for its dark, productive soil) was built around large cotton plantations whose owners' wealth grew mainly from slave labor."
69,0,alabama,69,"The area also drew many poor, disfranchised people who became subsistence farmers."
70,0,alabama,70,"Alabama had an estimated population of under 10,000 people in 1810, but it increased to more than 300,000 people by 1830."
71,0,alabama,71,Most Native American tribes were completely removed from the state within a few years of the passage of the Indian Removal Act by Congress in 1830.
72,0,alabama,72,"From 1826 to 1846, Tuscaloosa served as Alabama's capital."
73,0,alabama,73,"On January 30, 1846, the Alabama legislature announced it had voted to move the capital city from Tuscaloosa to Montgomery."
