,pid,name,sid,sentence
0,0,alabama,0,"Alabama () is a state in the southern United States, bordered by Tennessee in the north, Georgia in the east, Florida and Gulf of Mexico in the south, and Mississippi in the west."
1,0,alabama,1,Alabama is the 30th largest region and the 24th most populated in the United States.
2,0,alabama,2,"With a total of 1,500 miles (2,400 km) of inland waterways, Alabama is among the more than one state."
3,0,alabama,3,"Alabama is nicknamed the State of Yellowhammer, after the state bird."
4,0,alabama,4,Alabama is also known as the Heart of Dixie and Cotton State.
5,0,alabama,5,"The state tree is the long-leaved pine, and the state flower is the camellia."
6,0,alabama,6,The capital of Alabama is Montgomery.
7,0,alabama,7,"The largest city by population is Birmingham, which has long been the most industrialized city; the largest city by region is Huntsville."
8,0,alabama,8,"The oldest city was Mobile, founded by French settlers in 1702 as the capital of French Louisiana."
9,0,alabama,9,"Greater Birmingham is the largest urban economy in Alabama, its most populated urban area and its economic centre."
10,0,alabama,10,"From the American Civil War to the Second World War, Alabama, like many states in the southern United States, suffered from economic difficulties, in part because of its continued dependence on agriculture."
11,0,alabama,11,"Like other former slave states, Alabamian legislators used Jim Crow's laws to deprive African Americans of their right to vote and otherwise discriminate against African Americans from the end of the reconstruction era until at least the 1970s."
12,0,alabama,12,"Despite the growth of large industries and urban centres, white rural interests dominated the state's legislative power from 1901 to 1960."
13,0,alabama,13,"During this period, urban interests and African-Americans were clearly underrepresented."
14,0,alabama,14,"After the Second World War, Alabama grew as the state economy moved from an economy based primarily on agriculture to an economy with diverse interests."
15,0,alabama,15,"In the 21st century, the government economy is based on management, automobiles, finance, manufacturing, aerospace, mineral extraction, health care, education, retail trade and technology."
16,0,alabama,16,"The European-American name of the river and state of Alabama is derived from the people of Alabama, a Muskogean tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper part of the river."
17,0,alabama,17,"In the Alabama language, the word of a person of alabama lineage is Albaamo (or variously Albaama or Albaamo in different dialects; the plural form is Albaamaha)."
18,0,alabama,18,"The suggestion that ""Alabama"" was borrowed from the language of Choctaw is unlikely."
19,0,alabama,19,The spelling of the word varies considerably from one historical source to another.
20,0,alabama,20,"The first use appears in three reports of the Soto expedition Hernando of 1540: Garcilaso de la Vega used Alibamo, while the Knight of Elvas and Rodrigo Ranjel wrote Alibamu and Limamu, respectively, in transliterations of the term."
21,0,alabama,21,"As early as 1702, the French called the tribe Alibamon, with French maps identifying the river as Rivière des Alibamons."
22,0,alabama,22,"Other spellings of the name included Alibamu, Alabamo, Albama, Alibamon, Alibama, Alibamou, Alabamu, Allibamou."
23,0,alabama,23,The sources disagree on the meaning of the word.
24,0,alabama,24,"Some researchers suggest that the word comes from the Choctaw alba (meaning ""plants"" or ""herbs"") and amo (meaning ""to be cut"", ""to be cut"", or ""to be gathered"")."
25,0,alabama,25,"They may be ""clearers of the weaver"" or ""herb pickers"", which refer to clearing land for cultivation or collection of medicinal plants."
26,0,alabama,26,The state has many names of places of Amerindian origin.
27,0,alabama,27,"However, there are no similar words in alabama."
28,0,alabama,28,"An article from 1842 in the Republican of Jacksonville proposed that it mean ""Here we rest""."
29,0,alabama,29,This concept was popularized in the 1850s through the writings of Alexander Beaufort Meek.
30,0,alabama,30,The Muslim language experts found no evidence to support such a translation.
31,0,alabama,31,Indigenous peoples of diverse cultures lived in the region for thousands of years before the advent of European colonization.
32,0,alabama,32,Trade with the tribes of the northeast by the Ohio River began during the burial period (1000 B.C. – 700 B.C.) and continued until European contact.
33,0,alabama,33,"Mississippi's agrarian culture covered most of the state from 1000 to 1600 CE, with one of its main centres built at what is now the archaeological site of Moundville in Moundville, Alabama."
34,0,alabama,34,"It is the second largest complex in the classical Middle Mississippi era, after Cahokia in present-day Illinois, which was the centre of culture."
35,0,alabama,35,The analysis of artifacts from the Moundville archaeological excavations served as the basis for the researchers' formulation of the features of the South East Ceremonial Complex (SECC).
