,pid,name,sid,sentence
0,0,alabama,0,"Alabama () is a state in the southern United States, bordered by Tennessee in the north, Georgia in the east, Florida and the Gulf of Mexico in the south, and Mississippi in the west."
1,0,alabama,1,Alabama is the 30th largest region and the 24th most populous of the United States.
2,0,alabama,2," With a total of 1,500 miles (2,400 km) of inland waterways, Alabama is one of the more than one states."
3,0,alabama,3,"Alabama is nicknamed the state of Yellowhammer, after the state bird."
4,0,alabama,4,"The Alabama is also known as ""Heart of Dixie"" and ""Cotton State""."
5,0,alabama,5,"The state tree is the long-leaf pine, and the state flower is the camellia."
6,0,alabama,6,Alabama's capital is Montgomery.
7,0,alabama,7,"The largest city per population is Birmingham, which has long been the most industrialized city; the largest city per region is Huntsville."
8,0,alabama,8,"The oldest city is Mobile, founded by French settlers in 1702 as the capital of French Louisiana."
9,0,alabama,9," Greater Birmingham is the largest urban economy in Alabama, its most populated urban area and its economic center."
10,0,alabama,10," From the American Civil War to the Second World War, Alabama, like many states in the southern United States, suffered economic hardship, partly because of its continued dependence on agriculture."
11,0,alabama,11," Like other former slave states, Alabamian legislators have used Jim Crow's laws to disqualify African Americans and otherwise discriminate against them from the end of the reconstruction era until at least the 1970s."
12,0,alabama,12," Despite the growth of major industries and urban centres, white rural interests dominated the state's legislative power from 1901 to 1960."
13,0,alabama,13," During this period, urban interests and African-Americans were clearly under-represented."
14,0,alabama,14," After World War II, Alabama developed as the state economy moved from an economy based primarily on agriculture to an economy with diverse interests."
15,0,alabama,15,"In the 21st century, the government economy is based on management, automobile, finance, manufacturing, aerospace, mineral extraction, health care, education, retail trade and technology."
16,0,alabama,16,"The European-American name of the Alabama River and State is derived from the people of Alabama, a Muskogean tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper part of the river."
17,0,alabama,17,"In alabama language, the word for a person of alabama lineage is Albaamo (or variously Albaama or Albaamo in different dialects; the plural form is Albaamaha)."
18,0,alabama,18,"The suggestion that ""Alabama"" has been borrowed from the language of Choctaw is unlikely."
19,0,alabama,19,The spelling of the word varies greatly from one historical source to another.
20,0,alabama,20,"The first use appears in three accounts of the Soto expedition Hernando of 1540: Garcilaso de la Vega used Alibamo, while the Knight of Elvas and Rodrigo Ranjel wrote Alibamu and Limamu, respectively, in transliterations of the term."
21,0,alabama,21,"As early as 1702, the French called the tribe the Alibamon, with French maps identifying the river as the River of the Alibamons."
22,0,alabama,22," Other spellings of the name included Alibamu, Alabamo, Albama, Alibamon, Alibama, Alibamou, Alabamu, Allibamou."
23,0,alabama,23,The sources do not agree on the meaning of the word.
24,0,alabama,24," Some researchers suggest that the word comes from Choctaw alba (i.e., ""plants"" or ""herbs"") and amo (i.e., ""to be cut"", ""to be cut"", or ""to be gathered"")."
25,0,alabama,25," These may include ""furnace clearers"" or ""herb pickers"", which refer to clearing lands for cultivation or collection of medicinal plants."
26,0,alabama,26,The State has many names of places of Amerindian origin.
27,0,alabama,27," However, there are no similar words in alabama."
28,0,alabama,28,"An article from 1842 in the Republican of Jacksonville proposed that it means ""Here we rest""."
29,0,alabama,29, This notion was popularized in the 1850s through the writings of Alexander Beaufort Meek.
30,0,alabama,30, Muslim language experts found no evidence to support such a translation.
31,0,alabama,31, Indigenous peoples of diverse cultures lived in the region for thousands of years before the advent of European settlement.
32,0,alabama,32,Trade with the tribes of the northeast by the Ohio River began during the period of burial (1000 B.C. – 700 B.C.) and continued until European contact.
33,0,alabama,33," Mississippi's agrarian culture covered most of the state from 1000 to 1600 CE, with one of its main centers built at what is now the archaeological site of Moundville in Moundville, Alabama."
34,0,alabama,34,"It is the second largest complex in the classical Middle Mississippi era, after Cahokia in present-day Illinois, which was the centre of culture."
35,0,alabama,35,The analysis of artifacts from the Moundville archaeological excavations served as the basis for the researchers' formulation of the features of the Southeast Ceremonial Complex (SCE).
36,0,alabama,36," Contrary to popular belief, SCEC appears to have no direct connection to Mesoamerican culture, but to have developed independently."
37,0,alabama,37,The Ceremonial Complex represents a major component of the religion of the Mississippi peoples
38,0,alabama,38," Among the historical tribes of the Amerindians living in Alabama today at the time of European contact were the Cherokee, an Iroquoian-speaking people, and the Muslim-speaking Alabamas (Alibamu), Chickasaw, Choctaw, Creek, and Koasati."
39,0,alabama,39," While they were part of the same large linguistic family, Muskogee tribes developed distinct cultures and languages."
40,0,alabama,40," With exploration in the 16th century, the Spaniards were the first Europeans to reach the Alabama."
41,0,alabama,41,The expedition of Hernando de Soto crossed Mabila and other parts of the State in 1540.
42,0,alabama,42,"More than 160 years later, the French founded the first European establishment in the region at Old Mobile in 1702."
43,0,alabama,43,The city was moved to the current mobile site in 1711.
44,0,alabama,44, This region was claimed by the French from 1702 to 1763 in the context of La Louisiana.
45,0,alabama,45," After the loss of the French by the British in the Seven Years' War, he was part of the British West Florida from 1763 to 1783."
46,0,alabama,46," After the victory of the United States in the American revolutionary war, the territory was divided between the United States and Spain."
47,0,alabama,47,The latter retained control of that western territory from 1783 until the surrender of the Spanish garrison to Mobile to the American forces on 13 April 1813.
48,0,alabama,48,"Thomas Bassett, loyalist of the British monarchy during the Revolution, was one of the first white settlers of the state outside Mobile."
49,0,alabama,49,He settled in the district of Tombigbee in the early 1770s.
50,0,alabama,50,"The boundaries of the district were approximately limited to the area a few miles from the Tombigbee River and included portions of what is now found in southern Clarke County, the northmost mobile county and most of Washington County."
51,0,alabama,51," What is now the counties of Baldwin and Mobile became part of Spanish Western Florida in 1783, part of the Independent Republic of Western Florida in 1810, and was finally added to Mississippi territory in 1812."
52,0,alabama,52, Most of what is now two-thirds north of Alabama was known as Yazoo's land from the British colonial period.
53,0,alabama,53,It was claimed by the Province of Georgia from 1767.
54,0,alabama,54," After the revolutionary war, it remained a part of Georgia, although it was strongly contested."
55,0,alabama,55," With the exception of the area around Mobile and the lands of Yazoo, what is now the lower third of Alabama was part of the territory of Mississippi when it was organized in 1798."
56,0,alabama,56,Yazoo's lands were added to the territory in 1804 as a result of the Yazoo land scandal.
57,0,alabama,57, Spain maintained a claim on its former Spanish territory of West Florida in what would become the coastal counties until the Adams-Onís treaty officially gave it to the United States in 1819.
58,0,alabama,58," Prior to Mississippi's admission to the state on December 10, 1817, the eastern half of the territory, more sparsely populated, was separated and named territory of Alabama."
59,0,alabama,59,"The United States Congress established the territory of Alabama on March 3, 1817."
60,0,alabama,60,"St. Stephens, now abandoned, served as the territorial capital between 1817 and 1819."
61,0,alabama,61,"Alabama was admitted as the 22nd state on December 14, 1819, when Congress chose Huntsville as the site of the first Constitutional Convention."
62,0,alabama,62," From July 5 to August 2, 1819, delegates met to prepare for the new state constitution."
63,0,alabama,63,"Huntsville served as a temporary capital between 1819 and 1820, when the seat of government moved to Cahaba, Dallas County."
64,0,alabama,64,"Cahaba, now a ghost town, was the first permanent capital of the State from 1820 to 1825."
65,0,alabama,65,"The rush to Alabama Fever was under way when the state was admitted into the Union, with settlers and speculators of land pouring into the state to take advantage of fertile land adapted to cotton cultivation."
66,0,alabama,66,"Part of the border in the years 1820 and 1830, its constitution provided for the universal suffrage of white men."
67,0,alabama,67, Planters in the south-east and traders in the south brought slaves with them as cotton plantations in Alabama developed.
68,0,alabama,68,The economy of the Central Black Belt (named for its dark and productive soil) was built around large cotton plantations whose wealth of owners came mainly from slave labour.
69,0,alabama,69,"The region has also attracted many poor, deprived of their rights, who have become subsistence farmers."
70,0,alabama,70,"It is estimated that Alabama had fewer than 10,000 inhabitants in 1810, but increased to over 300,000 in 1830."
71,0,alabama,71, Most Amerindian tribes were completely withdrawn from the state a few years after Congress passed the Indian Abduction Act in 1830.
72,0,alabama,72," From 1826 to 1846, Tuscaloosa was the capital of the Alabama."
73,0,alabama,73,"On January 30, 1846, the legislature of Alabama announced that it had voted to transfer the capital of Tuscaloosa to Montgomery."
74,0,alabama,74,The first legislative session in the new capital took place in December 1847.
75,0,alabama,75,A new capitol building was erected under the direction of Stephen Decatur Button of Philadelphia.
76,0,alabama,76,"The first structure burned in 1849, but was rebuilt at the same site in 1851."
77,0,alabama,77, This second building in the Capitol in Montgomery remains to date.
78,0,alabama,78,It was designed by Barachias Holt d'Exeter in Maine.
79,0,alabama,79,"By 1860, the population had increased to 964,201 people, nearly half of whom were slaves to Afro-Americans, and 2,690 were free of colour."
80,0,alabama,80,"On 11 January 1861, the Alabama declared its secession from the Union."
81,0,alabama,81," After remaining for a few days an independent republic, it joined the Confederate States of America."
82,0,alabama,82,The capital of the Confederation was first in Montgomery.
83,0,alabama,83,Alabama was heavily involved in the American Civil War.
84,0,alabama,84," Although relatively few battles were fought in the state, Alabama contributed approximately 120,000 soldiers to the war effort."
85,0,alabama,85,"A company of horsemen from Huntsville, Alabama, joined Nathan Bedford Forrest's battalion in Hopkinsville, Kentucky."
86,0,alabama,86,"The company was wearing new uniforms with yellow trimmings on the sleeves, collar and tail of the coat."
87,0,alabama,87," This led them to be welcomed with ""Yellowhammer"", and the name was later applied to all Alabama troops in the Confederate Army."
88,0,alabama,88,Alabama's slaves were released by the 13th amendment in 1865.
89,0,alabama,89,The Alabama was under the military regime from the end of the war in May 1865 until its official restoration to the Union in 1868.
90,0,alabama,90," From 1867 to 1874, when most white citizens were temporarily prevented from voting and freed from voting, many African-Americans appeared as political leaders in the state."
91,0,alabama,91,"Alabama was represented in Congress during this period by three African-American deputies: Jeremiah Haralson, Benjamin S. Turner and James T. Rapier."
92,0,alabama,92," After the war, the state remained mainly agricultural, with a cotton-related economy."
93,0,alabama,93," During the reconstruction, state legislators ratified a new state constitution in 1868, which created the State's first public school system and expanded women's rights."
94,0,alabama,94,"Lawmakers have financed many public road and rail projects, although they have been subjected to allegations of fraud and misappropriation."
95,0,alabama,95," Organized insurgents, the resistance groups tried to suppress the liberated men and the Republicans."
96,0,alabama,96,"In addition to the original short-duration Ku Klux Klan, these include the Pale Faces, the White Camelie Knights, the Red Shirts and the White League."
97,0,alabama,97,"The reconstruction in Alabama ended in 1874, when the Democrats regained control of the legislature and the governor's office through an election dominated by fraud and violence."
98,0,alabama,98," They drafted another constitution in 1875, and the legislator passed the Blaine Amendment, prohibiting the use of public money to finance affiliated religious schools."
99,0,alabama,99,"In the same year, a law had been approved which provided for the establishment of schools with racial segregation."
100,0,alabama,100,The railway passenger cars were separated in 1891.
101,0,alabama,101," After depriving most African Americans and many poor whites in the 1901 constitution, the Alabama Legislative Assembly passed more Jim Crow laws in the early 20th century to impose segregation in everyday life."
102,0,alabama,102,"The new Alabama Constitution of 1901 contained provisions for the registration of voters who effectively deprived a large proportion of the population, including almost all African Americans and Native Americans, and tens of thousands of poor whites, making it difficult to register voters, demanding a tax and literacy test."
103,0,alabama,103,The 1901 constitution required racial segregation of public schools.
104,0,alabama,104,"In 1903, only 2,980 African-Americans were registered in Alabama, but at least 74,000 were literate."
105,0,alabama,105," Compared to over 181,000 African-Americans eligible to vote in 1900."
106,0,alabama,106,The numbers have fallen even further in recent decades.
107,0,alabama,107,"The State legislator passed additional laws on racial segregation in public institutions in the 1950s: prisons were separated in 1911; hospitals in 1915; toilets, hotels and restaurants in 1928; and waiting rooms for bus stops in 1945."
108,0,alabama,108," Although the class of planters persuaded the white poor to vote in favour of this legislative effort to remove the black vote, the new restrictions also deprived them of their right to vote, mainly due to the imposition of a cumulative voting fee."
109,0,alabama,109,"In 1941, whites constituted a slight majority of those who were deprived of their rights under these laws: 600,000 whites versus 520,000 African-Americans."
110,0,alabama,110, Almost all African-Americans had lost the ability to vote.
111,0,alabama,111," Despite numerous legal challenges that have succeeded in overturning certain provisions, the State legislature would create new ones to maintain exclusion."
112,0,alabama,112,The exclusion of Blacks from the political system persisted until the adoption of the Federal Civil Rights Act in 1965 to enforce their constitutional rights as citizens.
